"","GENE","FREQUENCY"
"967","FAM73A",0.02
"968","GXYLT1",0.02
"969","HMGCS1",0.02
"970","PDIA6",0.019
"971","RP5-1172A22.1",0.019
"972","PPP4R3B",0.018
"973","ACAT2",0.017
"974","CLCN7",0.017
"975","RNF149",0.017
"976","LDB2",0.016
"977","ENAH",0.015
"978","PALLD",0.015
"979","DLGAP5",0.014
"980","MPDU1",0.014
"981","PARD3",0.014
"982","PSMB2",0.013
"983","FDXR",0.012
"984","LTV1",0.012
"985","OLFML3",0.012
"986","OSER1-AS1",0.012
"987","SPARC",0.012
"988","TOMM34",0.012
"989","PLEKHF1",0.01
"990","RACGAP1",0.01
"991","FRAS1",0.009
"992","MANF",0.009
"993","METTL13",0.009
"994","PELP1",0.009
"995","PPP1R12A",0.009
"996","SAR1B",0.009
"997","TBC1D2B",0.009
"998","THAP6",0.009
"999","CBX5",0.008
"1000","RPL39L",0.008
"1001","ATP1B3",0.007
"1002","CKS1B",0.007
"1003","CMB9-22P13.1",0.007
"1004","DENND1A",0.007
"1005","EIF4A3",0.007
"1006","ISG20L2",0.007
"1007","TLK2",0.007
"1008","DDB2",0.006
"1009","FASN",0.006
"1010","LACTB2",0.006
"1011","MAPK7",0.006
"1012","SLC35F2",0.006
"1013","CROT",0.005
"1014","GGH",0.005
"1015","GLA",0.005
"1016","QPCT",0.005
"1017","STARD13",0.005
"1018","TMEM119",0.005
"1019","AKR1B1",0.004
"1020","CCDC137",0.004
"1021","CDKN1C",0.004
"1022","CHKB-AS1",0.004
"1023","SPC24",0.004
"1024","VPS13C",0.004
"1025","AC091729.9",0.003
"1026","CENPN",0.003
"1027","IKBKB",0.003
"1028","NRP2",0.003
"1029","S100A3",0.003
"1030","SZT2",0.003
"1031","ACOT2",0.002
"1032","COPB1",0.002
"1033","FBXO28",0.002
"1034","SDF2L1",0.002
"1035","SMU1",0.002
"1036","ADD1",0.001
"1037","ATP6V0A1",0.001
"1038","CDKN2B",0.001
"1039","CLUH",0.001
"1040","DNAJC9",0.001
"1041","HMGCR",0.001
"1042","KNSTRN",0.001
"1043","LYAR",0.001
"1044","MTMR9",0.001
"1045","PIGW",0.001
"1046","SRFBP1",0.001
"1047","TMEM158",0.001
"1048","TXNIP",0.001
