"","GENE","FREQUENCY"
"821","GOLIM4",0.527
"822","SLIT2",0.527
"823","SPRY1",0.526
"824","TXNRD1",0.526
"825","GAMT",0.525
"826","SCD",0.524
"827","RASA4",0.521
"828","HOMER1",0.52
"829","KDELC2",0.517
"830","LPIN3",0.517
"831","TYMS",0.517
"832","TP63",0.516
"833","SAMD12",0.515
"834","DNAJB9",0.514
"835","SYS1",0.51
"836","HDAC9",0.509
"837","PDS5B",0.509
"838","HLA-DRA",0.507
"839","BCL7A",0.506
"840","FAXC",0.506
"841","TMSB4X",0.506
"842","COL4A2",0.504
"843","WDR3",0.504
"844","RBP7",0.503
"845","PSG5",0.502
"846","THRB",0.502
"847","KLF10",0.5
"848","KIF14",0.497
"849","UNC5B",0.497
"850","ACAP3",0.495
"851","PDLIM1",0.494
"852","FBXO2",0.493
"853","PLEKHO2",0.492
"854","C10orf2",0.49
"855","PTK6",0.489
"856","ST3GAL4-AS1",0.489
"857","NFIA",0.488
"858","ANKRD40",0.485
"859","CCDC102A",0.485
"860","HLA-DPA1",0.48
"861","MDH1",0.48
"862","SLC37A2",0.48
"863","TSPAN2",0.48
"864","MSC",0.479
"865","MROH8",0.478
"866","ZNF570",0.478
"867","GALNT12",0.477
"868","LDLR",0.477
"869","FOLR3",0.476
"870","SGCE",0.476
"871","SLC7A1",0.475
"872","MSRB3",0.474
"873","CAMK1D",0.473
"874","FRMD4A",0.473
"875","TMEM255B",0.471
"876","C11orf84",0.47
"877","CTA-29F11.1",0.47
"878","HSD17B2",0.47
"879","EIF1B",0.469
"880","NGFR",0.469
"881","TPBG",0.468
"882","RP11-395G23.3",0.467
"883","ODF2",0.466
"884","SLC41A2",0.464
"885","NOV",0.463
"886","C17orf96",0.462
"887","MRC2",0.462
"888","ARRDC4",0.461
"889","COL4A1",0.46
"890","TMC5",0.458
"891","MAFB",0.457
"892","MLLT11",0.456
"893","TCOF1",0.453
"894","LRRC8B",0.452
"895","XG",0.452
"896","TCF7",0.451
"897","AMPD3",0.449
"898","ENKUR",0.449
"899","MCM5",0.449
"900","RP11-242D8.1",0.449
"901","MYO5A",0.448
"902","FAM161A",0.447
"903","PEG10",0.447
"904","BRMS1L",0.446
"905","UGT1A1",0.446
"906","FOXO3",0.445
"907","LINC01116",0.445
"908","RP11-44F14.8",0.445
"909","RASSF3",0.444
"910","ARL14",0.443
"911","BATF3",0.442
"912","MC1R",0.442
"913","RP11-115D19.1",0.442
"914","TXNDC17",0.44
"915","GSTO1",0.438
"916","MT-ND4L",0.438
"917","NAPB",0.438
"918","PKIB",0.438
"919","ATF7IP2",0.437
"920","ARTN",0.436
"921","MIR222HG",0.436
"922","RAPGEF5",0.436
