"","GENE","FREQUENCY"
"996","PAPSS1",0.247
"997","SLC30A7",0.245
"998","ADGRF1",0.243
"999","AL022311.1",0.243
"1000","CPD",0.243
"1001","DYNLT3",0.243
"1002","KCNK6",0.243
"1003","MMP24-AS1",0.243
"1004","PPP1R15B",0.243
"1005","PSMA3-AS1",0.243
"1006","RAB21",0.243
"1007","SNX7",0.243
"1008","STX10",0.243
"1009","TRMT112",0.243
"1010","OSTC",0.239
"1011","EMC10",0.236
"1012","ABCA5",0.235
"1013","IFIT5",0.234
"1014","AC004130.1",0.233
"1015","YY1AP1",0.233
"1016","PTK2",0.229
"1017","SFN",0.229
"1018","IFI6",0.228
"1019","EGLN3",0.227
"1020","MUC5AC",0.226
"1021","ZRANB2",0.223
"1022","AC016831.5",0.221
"1023","AKAP8L",0.221
"1024","ANKRD28",0.221
"1025","CIAPIN1",0.221
"1026","DOCK5",0.221
"1027","FAT1",0.221
"1028","FBXO2",0.221
"1029","HACD3",0.221
"1030","IARS2",0.221
"1031","ITGB1",0.221
"1032","KIDINS220",0.221
"1033","MKLN1",0.221
"1034","MMP14",0.221
"1035","MRPS30",0.221
"1036","PHKB",0.221
"1037","SETD3",0.221
"1038","SLC7A11",0.221
"1039","ZNF24",0.221
"1040","AUH",0.213
"1041","CLN8",0.213
"1042","EXOSC4",0.212
"1043","ACTR10",0.21
"1044","JAK1",0.21
"1045","RPS6KA5",0.21
"1046","ACSL4",0.207
"1047","ERO1B",0.205
"1048","WBP2",0.205
"1049","HPS1",0.204
"1050","TBL2",0.204
"1051","FOXO3",0.198
"1052","RNF39",0.194
"1053","SAMD4B",0.194
"1054","POLDIP3",0.184
"1055","DDX52",0.183
"1056","CBFA2T2",0.177
"1057","DENND4C",0.177
"1058","FBXO3",0.177
"1059","KDM5A",0.177
"1060","NR1D2",0.177
"1061","NSD1",0.177
"1062","PLEKHA4",0.177
"1063","POLR2B",0.177
"1064","RHBDF1",0.177
"1065","SNRNP40",0.177
"1066","TAPBP",0.177
"1067","TNRC6B",0.177
"1068","TOB2",0.177
"1069","WSB2",0.177
"1070","ZNF766",0.177
"1071","ZNF791",0.177
"1072","PRMT1",0.176
"1073","ERBB3",0.174
"1074","ISG20L2",0.174
"1075","RABEPK",0.174
"1076","FLNA",0.173
"1077","LURAP1L",0.171
"1078","ABCC3",0.168
"1079","MED19",0.164
"1080","TOB1",0.163
"1081","KLF13",0.161
"1082","PLEKHN1",0.16
"1083","ING3",0.158
"1084","SCPEP1",0.158
"1085","NME3",0.153
"1086","CCNY",0.151
"1087","RBBP4",0.146
"1088","TMEM214",0.145
"1089","CDC37L1",0.144
"1090","IFT172",0.144
"1091","LMO7",0.142
"1092","LINC00969",0.14
"1093","TMEM208",0.14
"1094","ANKRD10",0.139
"1095","DKK3",0.137
"1096","KRT7",0.137
"1097","RBM38",0.137
"1098","FZD6",0.136
"1099","SSR1",0.134
"1100","RNF141",0.13
"1101","TSPYL1",0.128
"1102","ALG13",0.125
"1103","MXD1",0.124
"1104","SEMA3C",0.124
"1105","ATP5H",0.122
"1106","LBH",0.122
"1107","C6orf48",0.117
"1108","SNX17",0.117
"1109","IMMT",0.114
"1110","MCMBP",0.112
